No,M,AoA,Cl,Cd,Cp
1,0.727928,2.449037,0.740129,0.01333,-0.91155
2,0.736393,2.389265,0.736667,0.015423,-1.218775
3,0.731969,2.251332,0.709717,0.013156,-1.122496
4,0.735015,2.388274,0.736197,0.014977,-1.21458
5,0.725872,2.448004,0.73706,0.012857,-0.697603
6,0.721882,2.564357,0.751311,0.012702,-0.599242
7,0.729243,2.176036,0.691961,0.012159,-0.801678
8,0.734136,1.964393,0.660643,0.012062,-1.072988
9,0.731363,2.012413,0.665423,0.011775,-0.870835
10,0.728786,2.614255,0.769209,0.014712,-1.107719
11,0.726741,1.887703,0.633946,0.01077,-0.663396
12,0.726011,2.19676,0.690496,0.011721,-0.616248
13,0.724361,2.281824,0.703299,0.011824,-0.615351
14,0.732205,2.056518,0.675187,0.012134,-0.9971
15,0.729013,2.295714,0.713965,0.012721,-0.892649
16,0.727994,2.580347,0.763591,0.01425,-1.010584
17,0.729471,2.35844,0.725778,0.013179,-0.983151
18,0.735867,2.556189,0.764529,0.016674,-1.248297
19,0.72912,1.98155,0.655887,0.011307,-0.652283
20,0.732072,2.558255,0.762953,0.015344,-1.228803
21,0.725274,2.51351,0.747894,0.0131,-0.683122
22,0.733317,1.913417,0.6501,0.011674,-0.976848
23,0.720082,2.360993,0.709941,0.011586,-0.667494
24,0.728124,2.274054,0.708268,0.012426,-0.771577
25,0.729566,2.22374,0.701677,0.012455,-0.885346
26,0.727017,2.050053,0.665096,0.011293,-0.624995
27,0.729846,1.909636,0.643561,0.01114,-0.659962
28,0.745082,2.537163,0.760247,0.020221,-1.245445
29,0.729036,2.274923,0.710291,0.012615,-0.878665
30,0.736892,2.125506,0.693065,0.01369,-1.170492
31,0.733366,2.145893,0.693014,0.01287,-1.127022
32,0.731093,2.130858,0.686637,0.01229,-0.95141
33,0.726341,2.382709,0.725497,0.012623,-0.681253
34,0.724012,1.845419,0.620786,0.01051,-0.718672
35,0.724369,2.120062,0.673282,0.01124,-0.649472
36,0.728679,2.108918,0.678935,0.011757,-0.684556
37,0.728793,2.171268,0.690482,0.012056,-0.746694
38,0.721413,2.35062,0.710634,0.011701,-0.647596
39,0.725321,2.318826,0.711838,0.012128,-0.61461
40,0.724498,2.454901,0.735798,0.012633,-0.616015
